Vehicle	Type	Style	Color	Item	Cost	Date	Odometer(km)	Description	Next Date	Next Odo	Spec																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$172.98		239335	Bosch Air Mass Sensor - 0281002735																					
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Brake fluid	$10.00	2026-06-30	239335	Bendix Brake Fluid DOT 4	2028-06-30		2year(gauge check)																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Engine Oil	$0.00	2026-06-30	239335	Nulon Apex+ 5W-30 Euro	2027-06-30	249335	10kkm/year, 30nm, 4.1-4.7 liter																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$430.00	2026-06-30	239335	Starter motor - BOSCH 1986S00804 / Valeo 438266	NA	NA	75nm 15nm																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$95.00	2026-06-30	239335	4G0971782 - Glow Plug Connector	NA	NA																			
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Cabin Air Filter	$29.71	2026-06-30	239335	Mann Filter Cabin Air Filter FP2939/1	NA	254335	15kkm																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Oil Filter	$11.86	2026-06-30	239335	Mann Oil Filter HU719/7x	2027-06-30	249335	10kkm, 25nm																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Intake gasket	$46.68	2026-06-30	239335	"03L131547B - Fuel Injection Throttle Body Mounting Gasket
03G131547C - EGR Valve Gasket
069131547D - EGR Valve Gasket
03L129717 - Engine Intake Manifold Gasket"	2027-06-30	249335	10kkm, 25nm																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	coolant tank and cap	$87.91	2026-06-30	239335	"Meyle Coolant Expansion Tank 100 223 0009
Meyle Coolant Expansion Tank Cap 100 121 0070"	NA	NA	35nm																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Air Filter	$57.95	2026-06-30	239335	Mann-Filter Air Filter C35154	2032-06-30	284335	45kkm/6year																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$114.82	2026-06-30	239335	"TRW PHD1138 Hydraulic Brake Hose
TRW PHD2022 Hydraulic Brake Hose"																					
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$13.62			dogbone mount N10513102, N91066101	NA	NA																			
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$132.80	2026-03-27	239118	SuperPro TRC1045L Rear Sway Bar Link	NA	NA																			
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$9.20			Subframe mount bolt: N10558002	NA	NA																			
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$13.61			Fuel Injector seal and oring: 4x 059130119/059130519/WHT000884	NA	NA																			
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$15.76	2026-03-07	238960	8x rail rubber hole N0200321	NA	NA																			
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$290.36	2025-11-08	236606	rear swaybar superpro RC0006RZ-24	NA	NA	"rear sway bar bracket: 25nm + 45turn, 24mm diameter
rear sway bar link: 65nm, 65nm"																		
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$25.92			Rear swaybar bracket screw N10719301 	NA	NA	25nm + 45turn, 24mm diameter																		
