Vehicle	Type	Style	Color	Item	Cost	Date	Odometer(km)	Description
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Brake fluid	$10.00			Bendix Brake Fluid DOT 4
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Brake fluid	$10.00			Bendix Brake Fluid DOT 4
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Coolant	$29.99			Nulon Red Coolant
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Coolant	$29.99			Nulon Red Coolant
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Coolant	$29.99			Nulon Red Coolant
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Engine Oil	$60.40			Castrol Edge 5W-30 LL
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Engine Oil	$60.40			Castrol Edge 5W-30 LL
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Engine Oil	$60.40			Castrol Edge 5W-30 LL
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Engine Oil	$60.40			Castrol Edge 5W-30 LL
2008 VW Tiguan 5N CBAB JBT	CBAB I4 16V DOHC I/C TURBO CRD {103KW} 07~11 VOLKSWAGEN TIGUAN 2.0L (5N MK1) JBG	SUV	Black	Other	$68.94			"1K0253725 - Exhaust Clamp
1K0253115T - Turbocharger Gasket"
